Numéro Solde;Surname;First name;Date of birth
289;Bakmyr;Galugit;10/04/1995
290;Bakmyr;Galugit;08/04/1972
291;Bakmyr;Galugit;13/08/1996
292;Bakmyr;Galugit;18/08/1961
293;Bakmyr;Galugit;28/02/1980
294;Bakmyr;Galugit;12/12/1997
295;Bakmyr;Galugit;01/02/1994
296;Bakmyr;Galugit;18/04/1994
297;Bakmyr;Galugit A.;01/12/1971
298;Bakmyr;Galugit Ceut;25/11/1969
299;Bakmyr;Galugit Cvukqyz;03/04/1994
300;Bakmyr;Galugit E.;11/11/1990
301;Bakmyr;Galugit G.;17/10/1992
302;Bakmyr;Galugit G.;15/12/1979
303;Bakmyr;Galugit Gagal;22/07/1978
304;Bakmyr;Galugit Guvnyk;29/10/1972
305;Bakmyr;Galugit Luzzuk;23/02/1984
306;Bakmyr;Galugit Nag Juenul;14/03/1970
307;Bakmyr;Galugit P.;30/03/1989
308;Bakmyr;Galugit P.;07/12/1991
309;Bakmyr;Galugit Q.;14/05/1974
310;Bakmyr;Galugit R. J.;18/05/1997
311;Bakmyr;Galugit U;30/06/1980
312;Bakmyr;Galugit U.;10/02/1974
313;Bakmyr;Galugit U.;28/08/1987
314;Bakmyr;Galugit U.;07/04/1975
315;Bakmyr;Galugit U.;09/06/1983
316;Bakmyr;Galugit U.;04/08/1996
317;Bakmyr;Galugit Ugute;13/04/1970
318;Bakmyr;Galugit Uptexuy;17/10/1960
319;Bakmyr;Galugit Uxwlu;01/07/1994
320;Bakmyr;Galugit Uxyi;24/05/1991
321;Bakmyr;Galugit Uxyie;01/12/1972
322;Bakmyr;Galugit Y;10/04/1991
323;Bakmyr;Galugit Y.;17/12/1989
324;Bakmyr;Galugit Z.;13/02/1962
325;Bakmyr;Galugit Z.;13/02/1960
326;Bakmyr;Galugit Z.;25/08/1968
327;Bakmyr;Galugit Zavyi;12/04/1961
328;Bakmyr;Galugit Zavyi;07/06/1998
329;Bakmyr;Galugit Zlivycc;29/11/1990
330;Bakmyr;Galugit Zliyj;06/08/1969
331;Bakmyr;Galugit Zodizniv;02/06/1997
332;Bakmyr;Galugit Zugeix;28/12/1984
333;Bakmyr;Galugit Zugzetiik;24/02/1973
334;Bakmyr;Galugit Zuxxyie;15/06/1973
335;Bakmyr;Galugt Wupxa;24/01/1999
336;Bakmyr;Gavxuy;18/10/1990
337;Bakmyr;Gavxuy;20/01/1978
338;Bakmyr;Gavxuy Galugit;27/05/1961
339;Bakmyr;Gavyi;02/11/1988
340;Bakmyr;Gaziz;22/07/1982
341;Bakmyr;Gaziz;24/09/1979
342;Bakmyr;Gaziz;10/11/1978
343;Bakmyr;Gaziz;20/11/1962
344;Bakmyr;Gaziz;21/02/1992
345;Bakmyr;Gaziz;17/01/1993
346;Bakmyr;Gaziz;29/10/1993
347;Bakmyr;Gaziz Gazyvuo;25/10/1970
348;Bakmyr;Gaziz Ougpu;12/04/1970
349;Bakmyr;Gaziz Uptex;01/11/1994
350;Bakmyr;Gaziz Uvyzuo;27/08/1971
351;Bakmyr;Gaziz Wunvyqj;09/04/1984
352;Bakmyr;Gaziz Wvapok;28/06/1981
353;Bakmyr;Gaziz Zuzuo;08/10/1992
354;Bakmyr;Gevuku;16/11/1995
355;Bakmyr;Geze;02/01/1992
356;Bakmyr;Geze;28/11/1997
357;Bakmyr;Geznuwl;03/06/1996
358;Bakmyr;Geznuwlu;24/11/1997
359;Bakmyr;Geznuwlu;24/10/1961
360;Bakmyr;Geznuwlu;28/08/1990
361;Bakmyr;Geznuwlu;01/01/1968
362;Bakmyr;Geznuwlu;17/06/1969
363;Bakmyr;Geznuwlu;23/07/1993
364;Bakmyr;Geznuwlu;16/08/1976
365;Bakmyr;Geznuwlu U.;08/11/1963
366;Bakmyr;Gezu;23/02/1975
367;Bakmyr;Gezu;16/11/1995
368;Bakmyr;Gezu;10/01/1972
369;Bakmyr;Gezu;17/01/1979
370;Bakmyr;Gezu;29/05/1981
371;Bakmyr;Gezu L;15/01/1964
372;Bakmyr;Gezu U.;10/03/1992
373;Bakmyr;Gezu Zexnuk;30/01/1982
374;Bakmyr;Gezu Zulyt;23/07/1962
375;Bakmyr;Gezu.Uxlusy;18/09/1998
376;Bakmyr;Gigeku;29/11/1969
377;Bakmyr;Gigeku Juvnlo;29/07/1990
378;Bakmyr;Gigekune;05/04/1983
379;Bakmyr;Gigekune;13/04/1965
380;Bakmyr;Gigekune;20/02/1993
381;Bakmyr;Gigekune Saziwlyki;23/06/1973
382;Bakmyr;Gixdyk;24/05/1974
383;Bakmyr;Gixvazi;02/07/1968
384;Bakmyr;Gixvazi I.;23/11/1977
385;Bakmyr;Gixynu Xeqo;09/10/1994
386;Bakmyr;G'Puxe;13/12/1974
387;Bakmyr;Gpuxe Guvyugu;24/08/1982
388;Bakmyr;Gpuygpu G;28/07/1979
389;Bakmyr;Gugaet;11/07/1996
390;Bakmyr;Gugaet Zavyi;02/07/1990
391;Bakmyr;Gugete;24/03/1995
392;Bakmyr;Gugyi;05/08/1993
393;Bakmyr;Gumhixx J.;20/04/1991
394;Bakmyr;Gupix;07/09/1961
395;Bakmyr;Gupykno;08/02/1987
396;Bakmyr;Gupykno;02/03/1984
397;Bakmyr;Gupykno;26/03/1972
398;Bakmyr;Gupykno;03/12/1966
399;Bakmyr;Gupykno;10/08/1975
400;Bakmyr;Gupykno;28/10/1994
401;Bakmyr;Gupykno Geggo;29/07/1965
402;Bakmyr;Gupykno Q.;06/05/1980
403;Bakmyr;Gupykno Z.;25/05/1975
404;Bakmyr;Gupykno Zetuk;21/03/1994
405;Bakmyr;Gurivin Caxaxugeze;18/08/1986
406;Bakmyr;Gurtuxiki G.;30/07/1976
407;Bakmyr;Gurtuxiki Gupykno;13/03/1996
408;Bakmyr;Guruvin;06/03/1961
409;Bakmyr;Guvdiz Y.;15/05/1969
410;Bakmyr;Guvj Uxwlu;01/09/1964
411;Bakmyr;Guvnlu;29/09/1980
412;Bakmyr;Guvnlu G.;05/04/1974
413;Bakmyr;Guvnlu I.;11/11/1962
414;Bakmyr;Guvnyk Salukiz Nlugpu;20/08/1988
415;Bakmyr;Guvo;09/04/1972
416;Bakmyr;Guvo;11/01/1965
417;Bakmyr;Guvo;14/12/1965
418;Bakmyr;Guvo;19/11/1974
419;Bakmyr;Guvo Catuo;08/04/1973
420;Bakmyr;Guvo Wazzil;09/09/1987
421;Bakmyr;Guvo Z.;31/05/1986
422;Bakmyr;Guvruvin;18/09/1989
423;Bakmyr;Guvruvin;12/09/1999
424;Bakmyr;Guvruvin .I;26/04/1997
425;Bakmyr;Guvruvin Suki;03/03/1998
426;Bakmyr;Guvruvin Yzune;28/07/1987
427;Bakmyr;Guvruvinni;16/11/1993
428;Bakmyr;Guvyi Pyknyu;06/12/1961
429;Bakmyr;Guvyugu;04/12/1977
430;Bakmyr;Guvyugu;21/04/1964
431;Bakmyr;Guvyugu D.;01/03/1991
432;Bakmyr;Guvyugu W.;11/01/1976
433;Bakmyr;Guvyugu Zivuo;30/11/1976
434;Bakmyr;Guvyuk;04/04/1970
435;Bakmyr;Guvyune;09/05/1980
436;Bakmyr;Guvyune;01/05/1979
437;Bakmyr;Guvyune;20/11/1978
438;Bakmyr;Guvyune;03/07/1998
439;Bakmyr;Guvyune;13/12/1960
440;Bakmyr;Guvyune;26/05/1989
441;Bakmyr;Guvyune Z.;26/01/1980
442;Bakmyr;Guvyune Zucykune;18/12/1994
443;Bakmyr;Guxehulek G.;06/03/1983
444;Bakmyr;Guxqak Ououl;27/06/1965
445;Bakmyr;Guxxuo;10/12/1963
446;Bakmyr;Guzyvuo;04/07/1994
447;Bakmyr;Gyigekune;07/10/1989
448;Bakmyr;Gykjuyxe;08/06/1964
449;Bakmyr;Gykjuyxe Rypvyx;06/01/1979
450;Bakmyr;Gynqlix U.;21/07/1966
451;Bakmyr;Gyqliux;11/09/1965
452;Bakmyr;Gyqluix;28/12/1976
453;Bakmyr;Gyqluix;25/09/1965
454;Bakmyr;Gyqluix;28/06/1973
455;Bakmyr;Gyqluix;04/08/1965
456;Bakmyr;Gyqluix P.;11/03/1968
457;Bakmyr;Gyqluix Tudyt;25/11/1971
458;Bakmyr;Gyqluix U.;19/05/1968
459;Bakmyr;Gyqluix Uxyi;16/05/1962
460;Bakmyr;Gyqluix Z.;19/09/1991
461;Bakmyr;Gyqluixu;02/06/1967
462;Bakmyr;Gyxnak G.;01/05/1996
463;Bakmyr;Gyxtvit;02/10/1979
464;Bakmyr;Havajyu Z.;26/04/1988
465;Bakmyr;Hezguk Dykqikn;10/10/1963
466;Bakmyr;Hyxzak;29/09/1987
467;Bakmyr;Iccu;30/09/1997
468;Bakmyr;Ifijyix;19/03/1977
469;Bakmyr;Ifijyix J.;02/11/1988
470;Bakmyr;Iggu;20/10/1990
471;Bakmyr;Iggukeix;20/12/1987
472;Bakmyr;Iggukeix;19/08/1979
473;Bakmyr;Iggukeix;11/12/1980
474;Bakmyr;Iggukeix Gay;24/10/1971
475;Bakmyr;Iggukeix Pxuqjyi;22/12/1960
476;Bakmyr;Iggukeix V.;18/09/1971
477;Bakmyr;Iggukeix Zuya;14/01/1982
478;Bakmyr;Igyxyu;28/01/1980
479;Bakmyr;Ithuvt;29/12/1980
480;Bakmyr;Ithuvt;07/05/1981
481;Bakmyr;Ithuvt;16/12/1997
482;Bakmyr;Ithuvt;02/10/1997
483;Bakmyr;Ithuvt;12/11/1964
484;Bakmyr;Ithuvt G.;11/03/1970
485;Bakmyr;Ithuvt Liuvnil;28/02/1981
486;Bakmyr;Ithuvt Pukja;21/07/1978
487;Bakmyr;Ithuvt Zavyi;29/11/1983
488;Bakmyr;Ithyk;31/10/1979
489;Bakmyr;Ithyku;02/06/1969
490;Bakmyr;Ittyi;31/03/1963
491;Bakmyr;Ityzak G.;10/06/1991
492;Bakmyr;Iuznixxu;02/04/1986
493;Bakmyr;Ivkizn S.Q.;26/08/1996
494;Bakmyr;Ivkizn U.;06/09/1997
495;Bakmyr;Ixxyuz Gavyi Sai;31/10/1964
496;Bakmyr;Ixyfupinl;02/06/1990
497;Bakmyr;Ixyfupinl;03/10/1987
498;Bakmyr;Ixyfupinl G.;07/01/1967
499;Bakmyr;Ixyfupinl I.;11/08/1961
500;Bakmyr;Ixyfupinl Y.;31/05/1975
501;Bakmyr;Izluju;12/09/1979
502;Bakmyr;Iznliv;12/03/1996
503;Bakmyr;Iznliv;28/07/1970
504;Bakmyr;Iznliv;06/05/1973
505;Bakmyr;Iznliv X.;13/11/1985
506;Bakmyr;Jagvupuy J.;16/05/1991
507;Bakmyr;Jaxxil;17/06/1986
508;Bakmyr;Jegpu;02/02/1983
509;Bakmyr;Jixcuxu;02/11/1979
510;Bakmyr;Jixcuxu;30/03/1988
511;Bakmyr;Jixdyk Zavyi;05/08/1975
512;Bakmyr;Jlixxu Guzzul;16/05/1991
513;Bakmyr;Jlutysune;20/01/1999
514;Bakmyr;Juguktu;08/09/1966
515;Bakmyr;Juguktu G.;24/08/1997
516;Bakmyr;Juguktu Z.;21/03/1985
517;Bakmyr;Junyz;18/02/1969
518;Bakmyr;Jutuo;30/07/1960
519;Bakmyr;Jutyi;10/08/1994
520;Bakmyr;Jutyune;31/01/1980
521;Bakmyr;Jutyune;19/02/1979
522;Bakmyr;Jutyune;13/06/1982
523;Bakmyr;Jutyune;08/09/1969
524;Bakmyr;Jutyune;26/02/1995
525;Bakmyr;Jutyune G.;01/10/1981
526;Bakmyr;Jutyune Oiukav;23/03/1996
527;Bakmyr;Jutyune Q.;14/04/1961
528;Bakmyr;Jutyune Suki;07/07/1998
529;Bakmyr;Jutyune Uxyqi;26/02/1983
530;Bakmyr;Jutyune X.;03/02/1969
531;Bakmyr;Jutyune Yzune;19/09/1992
532;Bakmyr;Juvgul;17/10/1988
533;Bakmyr;Juvicuxu Ithuvt;08/08/1984
534;Bakmyr;Juzzyg;07/05/1982
535;Bakmyr;Kruty;29/08/1977
536;Bakmyr;Kruvtyi N.;06/01/1980
537;Bakmyr;Kukqo;15/12/1990
538;Bakmyr;Kukqo S.;12/05/1976
539;Bakmyr;K'Zuv;10/11/1980
540;Bakmyr;Latyi K.;23/06/1989
541;Bakmyr;Leguv;13/08/1977
542;Bakmyr;Legykune;22/12/1978
543;Bakmyr;Leziyk;18/01/1990
544;Bakmyr;Likvo J.;12/06/1962
545;Bakmyr;Likvo P.;15/06/1960
546;Bakmyr;Lixik Uxyqi;25/02/1992
547;Bakmyr;Lugyte;31/07/1972
548;Bakmyr;Luhu;26/06/1961
549;Bakmyr;Luhu;22/05/1982
550;Bakmyr;Luhu;16/09/1970
551;Bakmyr;Luhu;14/12/1976
552;Bakmyr;Luhu E.;28/08/1993
553;Bakmyr;Luhu Wyu;09/09/1980
554;Bakmyr;Luhu Z.;28/09/1987
555;Bakmyr;Lukkul;02/10/1972
556;Bakmyr;Lukkul;01/10/1978
557;Bakmyr;Lusu Cungunu;10/06/1987
558;Bakmyr;Lusu Guvyugu;12/03/1988
559;Bakmyr;Lusuvune;05/03/1972
560;Bakmyr;Luvaek;16/04/1968
561;Bakmyr;Luveku;03/12/1976
562;Bakmyr;Luzzuk;02/03/1972
563;Bakmyr;Luzzuk;01/07/1998
564;Bakmyr;Luzzuk;02/10/1996
565;Bakmyr;Luzzuk;29/12/1970
566;Bakmyr;Luzzuk;01/03/1978
567;Bakmyr;Luzzuk;18/04/1967
568;Bakmyr;Luzzuk;08/11/1990
569;Bakmyr;Luzzuk;28/07/1981
570;Bakmyr;Luzzuk;16/09/1998
571;Bakmyr;Luzzuk;25/07/1996
572;Bakmyr;Luzzuk;15/12/1965
573;Bakmyr;Luzzuk Guttyi;23/11/1995
574;Bakmyr;Luzzuk L.;13/06/1992
575;Bakmyr;Luzzuk P.;05/09/1987
576;Bakmyr;Luzzuk U.;13/11/1968
577;Bakmyr;Luzzuk Uxcvit;17/01/1980
578;Bakmyr;Luzzuk Winiv;19/07/1983
579;Bakmyr;Luzzuk Yzzu;30/11/1989
580;Bakmyr;Luzzuk Zugeix;17/06/1964
581;Bakmyr;Luzzuk Zyil;18/04/1964
582;Bakmyr;Naggo;17/03/1983
583;Bakmyr;Nikkil;21/08/1985
584;Bakmyr;Nikkil O.;01/09/1996
585;Bakmyr;Nivizu;10/11/1967
