Numéro EMIS;teacher_surname;teacher_name;teacher_sex;Date of birth
37;Baagyd;Nliawlyxez;Male;12/06/1998
38;Baagyd;Saziwl Qluvxiz;Male;30/03/1988
39;Baagyd;Sugiz Sakunluk  Givjigay;Male;20/04/1971
40;Baagyd;Ukk;Female;18/07/1995
41;Baapju;Luhu Vuqlix;Female;17/01/1982
42;Baapjyd;Cuknu .Wunyikqi;Female;13/11/1984
43;Baapjyd;Galuggit;Male;05/11/1987
44;Baapjyd;Galugit;Male;09/12/1985
45;Baapjyd;Galugit;Male;10/07/1981
46;Baapjyd;Gayhexil;Male;17/06/1964
47;Baapjyd;Gykinni;Female;26/10/1965
48;Baapjyd;Paqjuvyi Nuhy;Male;24/04/1965
49;Baapjyd;Paqjuvyi Utakyz;Male;13/01/1968
50;Baapjyd;Pvuygu;Male;27/03/1984
51;Baapjyd;Riavryuku;Female;18/10/1982
52;Baapjyd;Seze Xukzuku;Male;19/05/1960
53;Baapjyd;Ukzeguku;Male;10/01/1983
54;Baapjyd;Viryku G;Female;13/08/1970
55;Baapjyd;Zlije;Male;03/08/1967
56;Baapjyd;Zlije. Winiv;Male;21/09/1960
57;Baapjyd;Znukxio;Male;03/08/1994
58;Baapjyd;Zug P;Male;14/08/1999
59;Baapjyd;Zugeix Sekyav;Male;28/12/1982
60;Baapjyd U;Tuetu;Male;02/10/1978
61;Baaxui;Tipavul Y;Male;07/09/1982
62;Badkyh;Upyi;Female;07/02/1997
63;Badkyr;Geze J;Female;29/10/1976
64;Bafuk;Cvukqizz;Male;29/04/1964
65;Bafuk;Ivyq Z X;Male;17/11/1982
66;Bagadpyr;Guvyi H.;Female;08/11/1989
67;Baggyd;Wuvnvyqyu S;Female;12/04/1964
68;Bahepju;Guvo;Female;15/10/1964
69;Bahepju;Sugiz Uxxukzak;Male;06/07/1993
70;Bahepjyd;Ykkul R;Female;15/10/1970
71;Bahhoyd;Galugit;Male;30/09/1967
72;Bahhoyd;Gavvyzak;Male;31/12/1972
73;Bahhoyd;Guvnlu;Female;27/10/1977
74;Bahhoyd;Guvnlu S;Female;03/08/1962
75;Bahhoyd;Jutyune;Female;01/04/1960
76;Bahhoyd;Tukyix P;Male;29/07/1971
77;Bahhoyd;Uptex  H;Male;25/08/1992
78;Bahhoyd;Uxezyki N;Male;21/04/1994
79;Bahhoyd;Uxlusy;Male;16/10/1988
80;Bahhoyd;Vetaxwl;Male;11/10/1997
81;Bahhoyd;W Lukkul;Female;22/01/1985
82;Bahhoyd;Wlyxyqyu G;Female;13/09/1982
83;Bahhoyd;Ypvulyg U;Male;13/08/1965
84;Bahqyd;Igyxyu;Female;16/03/1975
85;Bahy;Agax Sakunluk;Male;17/11/1965
86;Bahy;Cuynl.I.;Female;04/06/1991
87;Bahy;Cvukqyz Y;Male;20/08/1982
88;Bahy;Cvukqyz Y;Male;29/10/1997
89;Bahy;Cxavikqi A.;Female;04/03/1986
90;Bahy;Dyqnav;Male;01/12/1964
91;Bahy;Fuykup W;Female;09/03/1991
92;Bahy;Guvdixaz Ryxwyk;Male;20/08/1989
93;Bahy;Guvyugu;Female;20/05/1961
94;Bahy;Gyvuktu Zuxxuo;Female;06/09/1965
95;Bahy;Huniv;Male;03/07/1965
96;Bahy;Ierykyu;Female;30/09/1969
97;Bahy;Ithuvt P;Male;04/07/1980
98;Bahy;Ixyfupinl;Male;16/08/1973
99;Bahy;Ixyfupinl A;Female;15/07/1976
100;Bahy;Kuzyvetiik;Male;31/10/1984
101;Bahy;Likvo I;Male;26/09/1976
102;Bahy;Likvyinnu V;Female;15/04/1985
103;Bahy;Luhu S.;Female;20/03/1971
104;Bahy;Nyrytukjuo;Female;12/11/1975
105;Bahy;Oezyce;Male;12/05/1963
106;Bahy;Quvaxyki Xyxxyuk;Female;11/04/1993
107;Bahy;Riavri;Male;10/08/1975
108;Bahy;Rxutoz;Female;27/10/1980
109;Bahy;Rxutoz  Gunyxytu;Female;28/12/1987
110;Bahy;Saziwl;Male;29/08/1995
111;Bahy;Saziwl  Vigyzu;Male;13/10/1995
112;Bahy;Saziwl Salkko;Male;21/03/1965
113;Bahy;Saziwlyki Q;Female;16/12/1998
114;Bahy;Sazyi;Male;01/08/1987
115;Bahy;Sexyez U;Male;08/05/1999
116;Bahy;Sivigyul;Male;14/01/1968
117;Bahy;Siznyku P.;Female;08/11/1982
118;Bahy;Sugiz U.;Male;12/11/1962
119;Bahy;Suki;Female;15/05/1994
120;Bahy;Uereznu  Z;Female;09/10/1960
121;Bahy;Uptexuy;Male;02/05/1987
122;Bahy;Vuzlyt;Male;28/09/1970
123;Bahy;Wunvyqj  P;Male;18/09/1998
124;Bahy;Wvykqizz;Female;14/03/1994
125;Bahy;Xuevinnu;Female;14/11/1974
126;Bahy;Ykul S.;Female;27/04/1987
127;Bahy;Ypvulyg;Male;16/12/1960
128;Bahy;Ypvulyg Y.T;Male;13/04/1990
129;Bahy;Yzlu;Female;22/04/1960
130;Bahy;Zexuyguk;Male;12/01/1984
131;Bahy;Zexuyguk;Male;11/06/1962
132;Bahy Ajyx;Avuy;Female;08/12/1990
133;Bahy Ujaqa;Tizgakt;Male;26/12/1971
134;Bak6;Tudyt;Male;16/12/1973
135;Bakkonak;Sakunluk N;Male;16/02/1980
136;Bakkonak;Uereznez;Male;29/06/1971
137;Bakkonoak;Zoxdukez Iggukeix Naggo;Male;09/01/1981
138;Bakkyh;Zakko Uxpivn;Male;15/03/1976
139;Bakkyhh Zay;Gum;Male;17/04/1973
140;Bakkyhh Zay;Gum;Male;10/08/1991
141;Bakkyr;Galuggit. Zus.;Male;06/02/1960
142;Bakkyr;Guvnlu;Female;29/09/1980
143;Bakkyr;Qlvyznyuk J;Female;02/06/1986
144;Bakmdr;Gurvin;Female;20/06/1970
145;Bakmy;Galugit  Uxyi;Male;24/05/1991
146;Bakmy;Ujgut;Male;18/05/1992
147;Bakmykr;Uptexyu Z;Male;13/03/1994
148;Bakmyr;Apuy U;Male;08/01/1979
149;Bakmyr;Axydinni;Female;09/08/1966
150;Bakmyr;Azguk;Male;11/11/1992
151;Bakmyr;Azguk;Male;17/10/1977
152;Bakmyr;Azguk;Male;27/01/1993
153;Bakmyr;Azguk;Male;21/07/1960
154;Bakmyr;Azguk;Male;31/01/1991
155;Bakmyr;Azguk;Male;10/11/1990
156;Bakmyr;Azguk;Male;30/03/1996
157;Bakmyr;Azguk;Male;01/07/1995
158;Bakmyr;Azguk;Male;10/11/1972
159;Bakmyr;Azguk;Male;12/11/1997
160;Bakmyr;Azguk;Male;03/05/1985
161;Bakmyr;Azguk  Uptexuy;Male;31/12/1997
162;Bakmyr;Azguk  Z;Male;26/07/1960
163;Bakmyr;Azguk Ceut;Male;04/05/1965
164;Bakmyr;Azguk G;Male;04/07/1984
165;Bakmyr;Azguk G;Male;18/06/1999
166;Bakmyr;Azguk Galugit;Male;15/04/1966
167;Bakmyr;Azguk U;Male;03/11/1997
168;Bakmyr;Azguk U Z;Male;18/08/1971
169;Bakmyr;Azguk Uptex;Male;29/12/1981
170;Bakmyr;Azguk Uptexuy;Male;08/05/1968
171;Bakmyr;Azguk Upuzz;Male;08/08/1965
172;Bakmyr;Azguk V;Male;12/11/1971
173;Bakmyr;Azguk Y;Male;19/05/1971
174;Bakmyr;Azguk Z;Male;29/04/1977
175;Bakmyr;Azguk Z;Male;01/05/1992
176;Bakmyr;Caeut Zlije;Male;09/02/1971
177;Bakmyr;Cakny Iggukeix;Male;30/12/1963
178;Bakmyr;Catuo;Male;23/11/1991
179;Bakmyr;Catuo;Male;06/01/1969
180;Bakmyr;Catuo;Male;25/07/1966
181;Bakmyr;Catuo  V;Male;28/04/1974
182;Bakmyr;Catuo Gykjuyxe;Male;08/06/1964
183;Bakmyr;Catuo P;Male;13/04/1988
184;Bakmyr;Catuo Z;Male;02/02/1965
185;Bakmyr;Catuo Z;Male;03/11/1988
186;Bakmyr;Catuo Zugpu;Male;26/05/1980
187;Bakmyr;Cetyu;Female;10/08/1998
188;Bakmyr;Cexxugeze;Female;08/03/1978
189;Bakmyr;Cixym Catuo;Male;04/05/1965
190;Bakmyr;Cixym G;Male;11/02/1979
191;Bakmyr;Ciznez A;Male;08/07/1961
192;Bakmyr;Cukkil;Male;29/11/1980
193;Bakmyr;Cuknu;Female;07/11/1966
194;Bakmyr;Cune;Female;25/05/1967
195;Bakmyr;Cune J.;Female;05/07/1996
196;Bakmyr;Cune Javoul;Female;25/01/1965
197;Bakmyr;Cune Z.;Female;13/08/1977
198;Bakmyr;Cungunu;Female;13/03/1979
199;Bakmyr;Cungunu;Female;16/08/1968
200;Bakmyr;Cungunu;Female;17/08/1970
201;Bakmyr;Cungunu;Female;15/04/1966
202;Bakmyr;Cungunu;Female;01/04/1979
203;Bakmyr;Cungunu;Female;13/01/1994
204;Bakmyr;Cungunu;Female;06/10/1965
205;Bakmyr;Cungunu;Female;23/10/1985
206;Bakmyr;Cungunu  Xugyk;Female;23/09/1989
207;Bakmyr;Cungunu C;Female;15/07/1973
208;Bakmyr;Cungunu G;Female;22/07/1974
209;Bakmyr;Cungunu G;Female;04/11/1990
210;Bakmyr;Cungunu G;Female;01/01/1967
211;Bakmyr;Cungunu Galugit;Female;23/02/1986
212;Bakmyr;Cungunu Jivvyi;Female;04/09/1976
213;Bakmyr;Cungunu P;Female;02/10/1960
214;Bakmyr;Cungunu Pykne;Female;17/07/1998
215;Bakmyr;Cungunu S;Female;30/08/1963
216;Bakmyr;Cungunu U;Female;03/04/1976
217;Bakmyr;Cungunu U;Female;21/08/1962
218;Bakmyr;Cungunu Uxyqi;Female;10/04/1994
219;Bakmyr;Cungunu V;Female;25/04/1963
220;Bakmyr;Cungunu Wavnyu;Female;13/07/1994
221;Bakmyr;Cungunu Zakyunu;Female;17/01/1976
222;Bakmyr;Cungunu. K.;Female;05/04/1987
223;Bakmyr;Cvukbea Zukjal;Male;03/02/1995
224;Bakmyr;Cvukbea Zukjal;Male;04/04/1977
225;Bakmyr;Cvukjxok  Z;Male;17/01/1966
226;Bakmyr;Cvukqiz;Female;28/06/1964
227;Bakmyr;Cvukqizz;Female;22/11/1984
228;Bakmyr;Cvukqyz;Male;02/04/1977
229;Bakmyr;Cvukqyz;Male;18/01/1970
230;Bakmyr;Cvukqyz;Male;14/07/1993
231;Bakmyr;Cvukqyz;Male;11/07/1990
232;Bakmyr;Cvukqyz;Male;12/11/1979
233;Bakmyr;Cvukqyz;Male;24/09/1987
234;Bakmyr;Cvukqyz;Male;22/02/1969
235;Bakmyr;Cvukqyz N;Male;12/12/1991
236;Bakmyr;Cvukqyz P;Male;24/04/1988
237;Bakmyr;Cvukqyz.U;Male;12/12/1980
238;Bakmyr;Cvukqyz.U;Male;16/06/1984
239;Bakmyr;Cxavikqi P;Female;11/09/1974
240;Bakmyr;Divakyqu C;Female;16/12/1990
241;Bakmyr;Divakyqu Zikna;Female;21/10/1991
242;Bakmyr;Dyqnav;Male;25/02/1990
243;Bakmyr;Dyqnavo Zuvu;Male;06/02/1995
244;Bakmyr;Dyqnavyu Z;Female;09/05/1977
245;Bakmyr;Ege Luhu;Female;28/08/1993
246;Bakmyr;Eguv;Male;13/08/1977
247;Bakmyr;Eguve;Male;03/08/1962
248;Bakmyr;Ekyz;Male;03/03/1965
249;Bakmyr;Ekyzu;Male;17/07/1975
250;Bakmyr;Ekyzu;Male;19/08/1968
251;Bakmyr;Ekyzu;Male;26/03/1994
252;Bakmyr;Ezguk;Male;13/01/1974
253;Bakmyr;Ezguk;Male;26/11/1960
254;Bakmyr;Fuqluvyu;Male;31/07/1968
255;Bakmyr;Fuykup;Female;08/01/1969
256;Bakmyr;Fuykup;Female;10/06/1975
257;Bakmyr;Fuykup;Female;04/05/1983
258;Bakmyr;Fuykup;Female;03/11/1999
259;Bakmyr;Fuykup;Female;12/01/1973
260;Bakmyr;Fuykup;Female;20/02/1989
261;Bakmyr;Fuykup;Female;22/11/1988
262;Bakmyr;Fuykup Gurvin;Female;03/06/1983
263;Bakmyr;Fuykup L;Female;26/08/1963
264;Bakmyr;Fuykup P;Female;02/04/1986
265;Bakmyr;Fuykup Z;Female;26/08/1994
266;Bakmyr;Gagal;Male;09/05/1970
267;Bakmyr;Gagal;Male;17/04/1979
268;Bakmyr;Gagal;Male;17/11/1970
269;Bakmyr;Gagal U;Male;28/09/1964
270;Bakmyr;Gagate;Male;04/09/1968
271;Bakmyr;Gagate;Male;26/03/1992
272;Bakmyr;Gagate;Male;03/04/1967
273;Bakmyr;Gagate Ukze;Male;27/12/1970
274;Bakmyr;Galuggit P;Male;07/12/1991
275;Bakmyr;Galugit;Male;17/10/1996
276;Bakmyr;Galugit;Male;13/02/1960
277;Bakmyr;Galugit;Male;15/02/1995
278;Bakmyr;Galugit;Male;10/04/1995
279;Bakmyr;Galugit;Male;22/05/1978
280;Bakmyr;Galugit;Male;21/12/1964
281;Bakmyr;Galugit;Male;04/01/1995
282;Bakmyr;Galugit;Male;13/08/1996
283;Bakmyr;Galugit;Male;14/05/1974
284;Bakmyr;Galugit;Male;24/06/1985
285;Bakmyr;Galugit;Male;24/05/1994
286;Bakmyr;Galugit;Male;27/12/1978
287;Bakmyr;Galugit;Male;01/02/1994
288;Bakmyr;Galugit;Male;26/11/1968
289;Bakmyr;Galugit;Male;08/04/1972
290;Bakmyr;Galugit;Male;31/05/1964
291;Bakmyr;Galugit;Male;17/12/1985
292;Bakmyr;Galugit;Male;21/02/1983
293;Bakmyr;Galugit;Male;18/04/1994
294;Bakmyr;Galugit;Male;16/02/1968
295;Bakmyr;Galugit;Male;17/10/1960
296;Bakmyr;Galugit;Male;12/12/1997
297;Bakmyr;Galugit;Male;19/02/1998
298;Bakmyr;Galugit;Male;30/07/1977
299;Bakmyr;Galugit  C;Male;08/05/1971
300;Bakmyr;Galugit  Git;Male;12/11/1973
301;Bakmyr;Galugit  Guvnyk;Male;29/10/1972
302;Bakmyr;Galugit  Z;Male;01/02/1983
303;Bakmyr;Galugit  Zlivycc;Male;29/11/1990
304;Bakmyr;Galugit  Zuya;Male;18/09/1983
305;Bakmyr;Galugit A.;Male;01/12/1971
306;Bakmyr;Galugit C;Male;22/03/1987
307;Bakmyr;Galugit C;Male;25/11/1969
308;Bakmyr;Galugit C.;Male;03/04/1994
309;Bakmyr;Galugit Ekyz;Male;11/11/1990
310;Bakmyr;Galugit G;Male;17/10/1992
311;Bakmyr;Galugit G;Male;25/03/1973
312;Bakmyr;Galugit G;Male;22/07/1978
313;Bakmyr;Galugit G.;Male;04/01/1967
314;Bakmyr;Galugit G.;Male;11/07/1967
315;Bakmyr;Galugit Gagal;Male;15/12/1979
316;Bakmyr;Galugit Gavvuo;Male;20/07/1998
317;Bakmyr;Galugit Luzzuk;Male;23/02/1984
318;Bakmyr;Galugit P.;Male;13/06/1981
319;Bakmyr;Galugit Pukruxyi;Male;30/03/1989
320;Bakmyr;Galugit R.J;Male;18/05/1997
321;Bakmyr;Galugit U;Male;30/07/1997
322;Bakmyr;Galugit U;Male;10/02/1974
323;Bakmyr;Galugit U;Male;13/04/1970
324;Bakmyr;Galugit U;Male;28/08/1987
325;Bakmyr;Galugit U;Male;07/04/1975
326;Bakmyr;Galugit U;Male;04/08/1996
327;Bakmyr;Galugit U;Male;02/09/1987
328;Bakmyr;Galugit U.;Male;01/07/1994
329;Bakmyr;Galugit Ugyk;Male;24/05/1984
330;Bakmyr;Galugit Ugyk;Male;04/11/1961
331;Bakmyr;Galugit Uxyi;Male;09/01/1960
332;Bakmyr;Galugit Uxyie;Male;01/12/1972
333;Bakmyr;Galugit W;Male;24/01/1999
334;Bakmyr;Galugit Xugyk;Male;11/11/1967
335;Bakmyr;Galugit Y.;Male;17/12/1989
336;Bakmyr;Galugit Ypvulyg;Male;03/10/1994
337;Bakmyr;Galugit Z;Male;14/05/1973
338;Bakmyr;Galugit Z;Male;05/07/1998
339;Bakmyr;Galugit Z;Male;24/04/1989
340;Bakmyr;Galugit Z;Male;04/01/1974
341;Bakmyr;Galugit Z;Male;07/06/1998
342;Bakmyr;Galugit Z;Male;25/01/1982
343;Bakmyr;Galugit Z.;Male;05/07/1985
344;Bakmyr;Galugit Z.;Male;13/02/1962
345;Bakmyr;Galugit Z.;Male;25/08/1968
346;Bakmyr;Galugit Zavyi;Male;08/11/1983
347;Bakmyr;Galugit Zavyi;Male;12/04/1961
348;Bakmyr;Galugit Zliyj;Male;06/08/1969
349;Bakmyr;Galugit Zugeix;Male;28/12/1984
350;Bakmyr;Galugit Zuxxyie;Male;13/01/1987
351;Bakmyr;Galugit Zuxxyie;Male;15/06/1973
352;Bakmyr;Galugit Zxodizniv;Male;02/06/1997
353;Bakmyr;Galugit. Z;Male;26/04/1995
354;Bakmyr;Gavxuy;Male;18/10/1990
355;Bakmyr;Gavxuy G;Male;27/05/1961
356;Bakmyr;Gavyi;Male;02/11/1988
357;Bakmyr;Gavypu;Male;10/03/1968
358;Bakmyr;Gaziz;Male;10/11/1978
359;Bakmyr;Gaziz;Male;22/07/1982
360;Bakmyr;Gaziz;Male;21/02/1992
361;Bakmyr;Gaziz;Male;12/12/1962
362;Bakmyr;Gaziz;Male;02/11/1977
363;Bakmyr;Gaziz  W;Male;09/04/1984
364;Bakmyr;Gaziz O;Male;12/04/1970
365;Bakmyr;Gaziz P;Male;29/10/1993
366;Bakmyr;Gaziz U.;Male;01/11/1994
367;Bakmyr;Gaziz Uvyzuo;Male;27/08/1971
368;Bakmyr;Gaziz V;Male;20/11/1962
369;Bakmyr;Gaziz W;Male;28/06/1981
370;Bakmyr;Gaziz Z.;Male;29/09/1996
371;Bakmyr;Gaziz Zugpik;Male;19/06/1961
372;Bakmyr;Gaziz Zuozuo;Male;08/10/1992
373;Bakmyr;Gaziz. G;Male;25/10/1970
374;Bakmyr;Gevuku;Male;16/11/1995
375;Bakmyr;Geze;Female;02/01/1992
376;Bakmyr;Geze;Female;28/11/1997
377;Bakmyr;Geznuwl G .L;Male;28/08/1990
378;Bakmyr;Geznuwlu;Male;24/10/1961
379;Bakmyr;Geznuwlu;Male;17/06/1969
380;Bakmyr;Geznuwlu;Male;03/06/1996
381;Bakmyr;Geznuwlu;Male;24/11/1997
382;Bakmyr;Geznuwlu;Male;23/07/1993
383;Bakmyr;Geznuwlu P;Male;01/01/1968
384;Bakmyr;Geznuwlu Uxlusy;Male;08/11/1963
385;Bakmyr;Gezu;Male;17/01/1979
386;Bakmyr;Gezu;Male;23/02/1975
387;Bakmyr;Gezu;Male;16/11/1995
388;Bakmyr;Gezu;Male;10/01/1972
389;Bakmyr;Gezu L;Male;15/01/1964
390;Bakmyr;Gezu O;Male;29/05/1981
391;Bakmyr;Gezu Uxlusyi Gagal;Male;10/03/1992
392;Bakmyr;Gezu Z;Male;30/01/1982
393;Bakmyr;Gezu Zulyt;Male;23/07/1962
394;Bakmyr;Gigeku;Female;29/11/1969
395;Bakmyr;Gigeku S;Female;04/06/1964
396;Bakmyr;Gigeku Yzune;Female;04/09/1981
397;Bakmyr;Gigekune;Female;13/04/1965
398;Bakmyr;Gigekune;Female;20/02/1993
399;Bakmyr;Gigekune  Saizwlyk;Female;23/06/1973
400;Bakmyr;Gigekune R;Female;05/04/1983
401;Bakmyr;Gixdyk Upepujuvv;Male;24/05/1974
402;Bakmyr;Gixdyku Xiyrl;Female;06/03/1965
403;Bakmyr;Gixvazi;Female;02/07/1968
404;Bakmyr;Gixvazi I.;Female;23/11/1977
405;Bakmyr;Gixynu X;Female;09/10/1994
406;Bakmyr;G'Puxe;Female;13/12/1974
407;Bakmyr;Gpuxe G;Female;24/08/1982
408;Bakmyr;Gpuygpu G;Male;28/07/1979
409;Bakmyr;Gugaet;Male;11/07/1996
410;Bakmyr;Gugaet Z;Male;02/07/1990
411;Bakmyr;Gugete I;Male;24/03/1995
412;Bakmyr;Gugyi Sugyune;Female;05/08/1993
413;Bakmyr;Gukza Uxyi;Male;26/10/1961
414;Bakmyr;Gukze Vujyune;Female;11/08/1976
415;Bakmyr;Gumhixx J;Male;20/04/1991
416;Bakmyr;Gupix;Female;07/09/1961
417;Bakmyr;Gupykn;Female;13/11/1975
418;Bakmyr;Gupykno;Female;08/02/1996
419;Bakmyr;Gupykno;Female;28/06/1977
420;Bakmyr;Gupykno;Female;03/12/1966
421;Bakmyr;Gupykno;Female;06/05/1980
422;Bakmyr;Gupykno;Female;26/03/1972
423;Bakmyr;Gupykno Geggo;Female;29/07/1965
424;Bakmyr;Gupykno S.;Female;29/05/1999
425;Bakmyr;Gupykno Z;Female;21/03/1994
426;Bakmyr;Gupyno;Female;08/02/1987
427;Bakmyr;Gurtuxiki;Female;13/03/1996
428;Bakmyr;Gurtuxiki G;Female;30/07/1976
429;Bakmyr;Gurvinni Caxugeze;Female;14/01/1998
430;Bakmyr;Guvj  Rypvyx;Male;15/08/1984
431;Bakmyr;Guvj Uxwlu;Male;01/09/1964
432;Bakmyr;Guvnlu  I;Female;11/11/1962
433;Bakmyr;Guvo;Female;19/11/1974
434;Bakmyr;Guvo;Female;22/09/1988
435;Bakmyr;Guvo;Female;09/04/1972
436;Bakmyr;Guvo;Female;14/12/1965
437;Bakmyr;Guvo;Female;23/03/1996
438;Bakmyr;Guvo;Female;11/01/1965
439;Bakmyr;Guvo C;Female;08/04/1973
440;Bakmyr;Guvo Salk;Female;24/09/1988
441;Bakmyr;Guvo W;Female;09/09/1987
442;Bakmyr;Guvo Zakyinu;Female;31/05/1986
443;Bakmyr;Guvruvin;Female;18/09/1989
444;Bakmyr;Guvruvin;Female;01/02/1963
445;Bakmyr;Guvruvin;Female;12/09/1999
446;Bakmyr;Guvruvin Guzzul;Female;06/03/1961
447;Bakmyr;Guvruvin I.;Female;26/04/1997
448;Bakmyr;Guvruvinni;Female;16/11/1993
449;Bakmyr;Guvrvin Y;Female;28/07/1987
450;Bakmyr;Guvyi Pyknyu;Female;06/12/1961
451;Bakmyr;Guvyugu;Female;21/04/1964
452;Bakmyr;Guvyugu Qagcavn;Female;04/12/1977
453;Bakmyr;Guvyugu W;Female;19/08/1983
454;Bakmyr;Guvyuk Cungunu;Female;04/04/1970
455;Bakmyr;Guvyuk J. C.;Female;30/08/1993
456;Bakmyr;Guvyune;Female;09/05/1980
457;Bakmyr;Guvyune;Female;13/12/1960
458;Bakmyr;Guvyune;Female;04/08/1989
459;Bakmyr;Guvyune;Female;26/05/1989
460;Bakmyr;Guvyune  G;Female;26/03/1977
461;Bakmyr;Guvyune Suvyune;Female;01/05/1979
462;Bakmyr;Guvyune U;Female;03/07/1998
463;Bakmyr;Guvyune Zuccyune;Female;18/12/1994
464;Bakmyr;Guvyune Zukkal;Female;26/01/1980
465;Bakmyr;Guxehulek G.;Male;06/03/1983
466;Bakmyr;Guxxuo;Male;10/12/1963
467;Bakmyr;Guzyvuo;Female;04/07/1994
468;Bakmyr;Gykjuyxe R;Male;06/01/1979
469;Bakmyr;Gynqlixx U;Male;21/07/1966
470;Bakmyr;Gyqliux Pujuke;Male;11/03/1968
471;Bakmyr;Gyqliux T;Male;05/01/1993
472;Bakmyr;Gyqliuxu;Female;02/06/1967
473;Bakmyr;Gyqluix;Male;04/08/1965
474;Bakmyr;Gyqluix;Male;28/12/1976
475;Bakmyr;Gyqluix;Male;25/09/1965
476;Bakmyr;Gyqluix;Male;11/09/1965
477;Bakmyr;Gyqluix;Male;28/06/1973
478;Bakmyr;Gyqluix Ulgit;Male;19/05/1968
479;Bakmyr;Gyqluix Uxyi;Male;16/05/1962
480;Bakmyr;Gyqluix W;Male;07/10/1997
481;Bakmyr;Gyqluix Z;Male;19/09/1991
482;Bakmyr;Gyxnak G.;Male;01/05/1996
483;Bakmyr;Gyxtvit;Male;02/10/1979
484;Bakmyr;Hatyi;Male;23/06/1989
485;Bakmyr;Havajyu Zuya;Female;26/04/1988
486;Bakmyr;Hezguk D;Male;10/10/1963
487;Bakmyr;Hyxzak;Male;29/09/1987
488;Bakmyr;Iccu;Male;30/09/1997
489;Bakmyr;Ifijyix J;Male;02/11/1988
490;Bakmyr;Iggu;Female;30/05/1962
491;Bakmyr;Iggu;Female;20/10/1990
492;Bakmyr;Iggukeix;Male;20/12/1987
493;Bakmyr;Iggukeix;Male;11/12/1980
494;Bakmyr;Iggukeix  V;Male;18/09/1971
495;Bakmyr;Iggukeix Gj;Male;24/10/1971
496;Bakmyr;Iggukeix Z.;Male;19/08/1979
497;Bakmyr;Igukeix P;Male;22/12/1960
498;Bakmyr;Igyxyu;Female;28/01/1980
499;Bakmyr;Ithuvt;Male;29/12/1980
500;Bakmyr;Ithuvt;Male;02/10/1997
501;Bakmyr;Ithuvt;Male;18/08/1979
502;Bakmyr;Ithuvt;Male;07/05/1981
503;Bakmyr;Ithuvt  Cvukqyz;Male;09/07/1970
504;Bakmyr;Ithuvt Cvukqyz;Male;02/08/1962
505;Bakmyr;Ithuvt J.;Male;08/08/1984
506;Bakmyr;Ithuvt L;Male;28/02/1981
507;Bakmyr;Ithuvt P;Male;21/07/1978
508;Bakmyr;Ithuvt Tizgakt;Male;12/11/1964
509;Bakmyr;Ithuvt V;Male;16/12/1997
510;Bakmyr;Ithyk;Male;31/10/1979
511;Bakmyr;Ithyku;Female;02/06/1969
512;Bakmyr;Ittyi Piyvil;Male;31/03/1963
513;Bakmyr;Ivkizn Sexyez Qiqyx;Female;26/08/1996
514;Bakmyr;Ixcvytu;Female;11/08/1961
515;Bakmyr;Ixxyuz G S;Male;31/10/1964
516;Bakmyr;Ixyfupinl;Female;26/03/1972
517;Bakmyr;Ixyfupinl Guvyi;Female;03/10/1987
518;Bakmyr;Ixyfupinl Yzune;Female;31/05/1975
519;Bakmyr;Iznixxu F;Female;02/04/1986
520;Bakmyr;Iznliv  C;Female;28/07/1970
